Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G-PK	PK	PKatt	CrdY	CrdR	Gls/90	Ast/90	G+A/90	G-PK/90	G+A-PK/90	xG	npxG	xA	npxG+xA	xG/90	xA/90	xG+xA/90	npxG/90	npxG+xA/90
472	Ricardo Rodríguez	ch SUI	DF	Torino	28	1992	34	28	2473	27.5	0	1	0	0	0	3	0	0	0.04	0.04	0	0.04	0.3	0.3	1.6	1.8	0.01	0.06	0.07	0.01	0.07
473	Marko Rog	hr CRO	MF	Cagliari	26	1995	8	2	311	3.5	0	1	0	0	0	0	0	0	0.29	0.29	0	0.29	0.2	0.2	0.2	0.5	0.07	0.07	0.13	0.07	0.13
474	Rogério	br BRA	DF	Sassuolo	23	1998	23	19	1729	19.2	0	1	0	0	0	5	0	0	0.05	0.05	0	0.05	0.4	0.4	2.2	2.5	0.02	0.11	0.13	0.02	0.13
475	Alessio Romagnoli	it ITA	DF	Milan	26	1995	19	16	1409	15.7	1	0	1	0	0	4	1	0.06	0	0.06	0.06	0.06	0.7	0.7	0.1	0.8	0.04	0.01	0.05	0.04	0.05
476	Simone Romagnoli	it ITA	DF	Empoli	31	1990	19	17	1497	16.6	2	0	2	0	0	3	0	0.12	0	0.12	0.12	0.12	1.4	1.4	0.3	1.6	0.08	0.02	0.1	0.08	0.1
477	Luka Romero	ar ARG	FW	Lazio	16	2004	8	0	84	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.03	0.04	0.02	0.04
478	Sergio Romero	ar ARG	GK	Venezia	34	1987	16	16	1440	16	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0.2	0.2	0	0.01	0.01	0	0.01
479	Cristiano Ronaldo	pt POR	FW	Juventus	36	1985	1	0	31	0.3	0	0	0	0	0	1	0	0	0	0	0	0	0.2	0.2	0	0.2	0.5	0.12	0.63	0.5	0.63
480	Marten de Roon	nl NED	MFDF	Atalanta	30	1991	30	28	2548	28.3	3	0	3	0	0	7	1	0.11	0	0.11	0.11	0.11	1.6	1.6	0.6	2.3	0.06	0.02	0.08	0.06	0.08
481	Francesco Rossi	it ITA	GK	Atalanta	30	1991	1	0	37	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
482	Nicolò Rovella	it ITA	MF	Genoa	19	2001	21	16	1468	16.3	0	3	0	0	0	5	0	0	0.18	0.18	0	0.18	0.9	0.9	2.4	3.3	0.05	0.15	0.2	0.05	0.2
483	Amir Rrahmani	xk KVX	DF	Napoli	27	1994	33	33	2927	32.5	4	0	4	0	0	5	0	0.12	0	0.12	0.12	0.12	3.7	3.7	0.2	3.9	0.11	0.01	0.12	0.11	0.12
484	Ruan	br BRA	DF	Sassuolo	22	1999	10	0	214	2.4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.1	0.1	0	0.04	0.04	0	0.04
485	Daniele Rugani	it ITA	DF	Juventus	27	1994	12	9	879	9.8	0	0	0	0	0	2	0	0	0	0	0	0	0.2	0.2	0	0.2	0.02	0	0.02	0.02	0.02
486	Matteo Ruggeri	it ITA	DF	Salernitana	19	2002	14	8	676	7.5	0	0	0	0	0	1	0	0	0	0	0	0	0.2	0.2	0.3	0.5	0.03	0.04	0.07	0.03	0.07
487	Mário Rui	pt POR	DF	Napoli	30	1991	34	34	2992	33.2	0	5	0	0	0	7	0	0	0.15	0.15	0	0.15	1.7	1.7	3.3	5	0.05	0.1	0.15	0.05	0.15
488	Fabián Ruiz Peña	es ESP	MF	Napoli	25	1996	32	29	2384	26.5	7	4	7	0	0	2	0	0.26	0.15	0.42	0.26	0.42	1.6	1.6	2.8	4.4	0.06	0.11	0.17	0.06	0.17
489	Alessandro Russo	it ITA	MF	Salernitana	17	2003	1	0	29	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
490	Stefano Sabelli	it ITA	DF	Genoa	28	1993	7	5	348	3.9	0	0	0	0	0	3	0	0	0	0	0	0	0.2	0.2	0.1	0.3	0.06	0.01	0.07	0.06	0.07
491	Abdelhamid Sabiri	de GER	MFFW	Sampdoria	24	1996	14	9	893	9.9	3	2	3	0	0	3	0	0.3	0.2	0.5	0.3	0.5	1.1	1.1	1.2	2.2	0.11	0.12	0.23	0.11	0.23
492	Alexis Saelemaekers	be BEL	FW	Milan	22	1999	36	22	1865	20.7	1	3	1	0	0	2	0	0.05	0.14	0.19	0.05	0.19	3.3	3.3	3.6	6.9	0.16	0.17	0.33	0.16	0.33
493	Jacopo Sala	it ITA	MF	Spezia	29	1991	18	13	880	9.8	1	0	1	0	0	3	0	0.1	0	0.1	0.1	0.1	0.1	0.1	0.3	0.4	0.01	0.03	0.04	0.01	0.04
494	Eddie Salcedo	it ITA	MFFW	Spezia	19	2001	12	5	429	4.8	0	0	0	0	0	1	0	0	0	0	0	0	1.6	1.6	0.2	1.8	0.33	0.04	0.38	0.33	0.38
495	Lazar Samardzic	de GER	MF	Udinese	19	2002	22	1	490	5.4	2	2	2	0	0	0	0	0.37	0.37	0.73	0.37	0.73	1.1	1.1	1.8	2.9	0.19	0.33	0.53	0.19	0.53
496	Luigi Samele	it ITA	FW	Sassuolo	19	2002	2	0	5	0.1	0	1	0	0	0	0	0	0	18	18	0	18	0	0	0.4	0.4	0	6.52	6.52	0	6.52
497	Antonio Sanabria	py PAR	FW	Torino	25	1996	29	22	1803	20	6	1	6	0	0	3	0	0.3	0.05	0.35	0.3	0.35	8.1	8.1	1.5	9.6	0.4	0.07	0.48	0.4	0.48
498	Alexis Sánchez	cl CHI	FW	Inter	32	1988	27	7	881	9.8	5	2	5	0	0	0	0	0.51	0.2	0.72	0.51	0.72	5.3	5.3	1.7	7	0.54	0.18	0.72	0.54	0.72
499	Alex Sandro	br BRA	DF	Juventus	30	1991	28	17	1780	19.8	0	1	0	0	0	3	0	0	0.05	0.05	0	0.05	0.7	0.7	1.4	2.1	0.03	0.07	0.11	0.03	0.11
500	Nicola Sansone	it ITA	FWMF	Bologna	29	1991	27	6	896	10	2	3	2	0	0	6	0	0.2	0.3	0.5	0.2	0.5	3	3	2.1	5.1	0.3	0.21	0.51	0.3	0.51
501	Federico Santander	py PAR	FWDF	Bologna	30	1991	7	0	67	0.7	1	0	1	0	0	1	0	1.34	0	1.34	1.34	1.34	0.4	0.4	0.1	0.5	0.54	0.14	0.68	0.54	0.68
502	Samir Santos	br BRA	DF	Udinese	26	1994	17	17	1421	15.8	0	0	0	0	0	5	0	0	0	0	0	0	1.3	1.3	0.1	1.4	0.08	0.01	0.09	0.08	0.09
503	Riccardo Saponara	it ITA	FW	Fiorentina	29	1991	29	13	1284	14.3	3	3	3	0	0	1	0	0.21	0.21	0.42	0.21	0.42	2	2	3.2	5.2	0.14	0.22	0.36	0.14	0.36
504	Giacomo Satalino	it ITA	GK	Sassuolo	22	1999	1	0	8	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
505	Martin Satriano	it ITA	FWMF	Inter	20	2001	4	0	38	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0	0.1
506	Giorgio Scalvini	it ITA	DFMF	Atalanta	17	2003	18	9	763	8.5	1	0	1	0	0	1	0	0.12	0	0.12	0.12	0.12	1.7	1.7	0.2	1.9	0.2	0.02	0.23	0.2	0.23
507	Gianluca Scamacca	it ITA	FW	Sassuolo	22	1999	36	25	2146	23.8	16	0	15	1	1	7	0	0.67	0	0.67	0.63	0.63	10.8	10	2.5	12.5	0.45	0.1	0.56	0.42	0.52
508	Andrea Schiavone	it ITA	MF	Salernitana	28	1993	14	5	571	6.3	1	0	1	0	0	1	0	0.16	0	0.16	0.16	0.16	0.3	0.3	0.6	0.8	0.04	0.09	0.13	0.04	0.13
509	David Schnegg	at AUT	DF	Venezia	22	1998	4	2	142	1.6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0	0.02
510	Jerdy Schouten	nl NED	MF	Bologna	24	1997	17	16	1392	15.5	1	1	1	0	0	4	1	0.06	0.06	0.13	0.06	0.13	0.2	0.2	0.6	0.8	0.01	0.04	0.05	0.01	0.05
511	Demba Seck	sn SEN	FWMF	Torino	20	2001	6	1	146	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.6	0	0.6	0.36	0	0.36	0.36	0.36
512	Adrian Šemper	hr CRO	GK	Genoa	23	1998	1	1	90	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
513	Stefano Sensi	it ITA	MF	Sampdoria	25	1995	11	10	754	8.4	1	0	1	0	0	1	0	0.12	0	0.12	0.12	0.12	1	1	0.8	1.8	0.12	0.09	0.21	0.12	0.21
514	Stefano Sensi	it ITA	MF	Inter	25	1995	9	1	167	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0.3	0.6	0.18	0.15	0.33	0.18	0.33
515	Luigi Sepe	it ITA	GK	Salernitana	30	1991	16	16	1392	15.5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
516	Laurens Serpe	it ITA	DF	Genoa	20	2001	1	0	45	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
517	Stephan El Shaarawy	it ITA	DFFW	Roma	28	1992	27	8	1055	11.7	3	0	3	0	0	1	0	0.26	0	0.26	0.26	0.26	3	3	2.4	5.4	0.25	0.2	0.46	0.25	0.46
518	Aimar Sher	se SWE	MF	Spezia	18	2002	1	0	45	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
519	Eldor Shomurodov	uz UZB	FWMF	Roma	26	1995	28	5	784	8.7	3	4	3	0	0	2	0	0.34	0.46	0.8	0.34	0.8	4	4	2.2	6.2	0.46	0.25	0.71	0.46	0.71
520	Alassane Sidibe	ci CIV	FW	Atalanta	19	2002	1	0	6	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
521	Arnór Sigurðsson	is ISL	MFFW	Venezia	22	1999	9	0	183	2	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0	0.1	0.04	0.02	0.06	0.04	0.06
522	Adrien Silva	pt POR	MF	Sampdoria	32	1989	17	12	1083	12	0	1	0	0	0	3	1	0	0.08	0.08	0	0.08	0.3	0.3	0.5	0.8	0.02	0.04	0.07	0.02	0.07
523	Marco Silvestri	it ITA	GK	Udinese	30	1991	35	35	3150	35	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.1	0.1	0	0	0	0	0
524	Giovanni Simeone	ar ARG	FW	Hellas Verona	26	1995	35	32	2653	29.5	17	5	17	0	1	8	0	0.58	0.17	0.75	0.58	0.75	10.7	9.9	2.7	12.6	0.36	0.09	0.45	0.34	0.43
525	Giovanni Simeone	ar ARG	FW	Cagliari	26	1995	1	0	7	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
526	Wilfried Singo	ci CIV	DF	Torino	20	2000	35	32	2607	29	3	4	3	0	0	5	1	0.1	0.14	0.24	0.1	0.24	2.7	2.7	2.4	5.1	0.09	0.08	0.18	0.09	0.18
527	Salvatore Sirigu	it ITA	GK	Genoa	34	1987	37	37	3330	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
528	Leo Skiri Østigård	no NOR	DF	Genoa	21	1999	15	13	1172	13	0	0	0	0	0	4	2	0	0	0	0	0	0.2	0.2	0.2	0.4	0.02	0.01	0.03	0.02	0.03
529	?ukasz Skorupski	pl POL	GK	Bologna	30	1991	36	36	3240	36	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
530	Andreas Skov Olsen	dk DEN	DFFW	Bologna	21	1999	18	6	747	8.3	0	2	0	0	0	0	0	0	0.24	0.24	0	0.24	0.9	0.9	0.4	1.3	0.11	0.05	0.15	0.11	0.15
531	Milan Škriniar	sk SVK	DF	Inter	26	1995	35	35	3150	35	3	0	3	0	0	3	0	0.09	0	0.09	0.09	0.09	2.5	2.5	0.6	3.1	0.07	0.02	0.09	0.07	0.09
532	Chris Smalling	eng ENG	DF	Roma	31	1989	27	23	2091	23.2	3	0	3	0	0	0	0	0.13	0	0.13	0.13	0.13	1.7	1.7	0.1	1.8	0.07	0	0.08	0.07	0.08
533	Brandon Soppy	fr FRA	DFMF	Udinese	19	2002	28	7	777	8.6	0	0	0	0	0	4	0	0	0	0	0	0	0.4	0.4	0.2	0.6	0.05	0.03	0.08	0.05	0.08
534	Roberto Soriano	it ITA	MFFW	Bologna	30	1991	35	32	2622	29.1	0	4	0	0	0	6	2	0	0.14	0.14	0	0.14	1.9	1.9	4.2	6.1	0.06	0.14	0.21	0.06	0.21
535	Riccardo Sottil	it ITA	FW	Fiorentina	22	1999	24	14	1239	13.8	3	2	3	0	0	4	1	0.22	0.15	0.36	0.22	0.36	2.5	2.5	2.1	4.7	0.18	0.16	0.34	0.18	0.34
536	Matìas Soulé	ar ARG	FW	Juventus	18	2003	2	0	5	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0	0.1	2.4	0	2.4	2.4	2.4
537	Adama Soumaoro	fr FRA	DF	Bologna	29	1992	28	26	2266	25.2	0	0	0	0	0	6	2	0	0	0	0	0	0.9	0.9	0.1	0.9	0.03	0	0.04	0.03	0.04
538	Leonardo Spinazzola	it ITA	DF	Roma	28	1993	3	2	127	1.4	0	0	0	0	0	1	0	0	0	0	0	0	0.1	0.1	0.1	0.2	0.05	0.09	0.13	0.05	0.13
539	Marco Sportiello	it ITA	GK	Atalanta	29	1992	5	5	450	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
540	Luca Stanga	it ITA	DF	Milan	19	2002	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
541	Riccardo Stivanello	it ITA	DF	Bologna	17	2004	1	0	45	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
542	Petar Stojanovi?	si SVN	DF	Empoli	25	1995	33	32	2735	30.4	1	1	1	0	0	11	1	0.03	0.03	0.07	0.03	0.07	0.9	0.9	3.4	4.4	0.03	0.11	0.14	0.03	0.14
543	Thomas Strakosha	al ALB	GK	Lazio	26	1995	23	23	2070	23	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0.1	0.1	0	0	0	0	0
544	Stefan Strandberg	no NOR	DF	Salernitana	31	1990	11	11	933	10.4	0	0	0	0	0	2	1	0	0	0	0	0	0.4	0.4	0.3	0.6	0.04	0.03	0.06	0.04	0.06
545	Dávid Strelec	sk SVK	FWMF	Spezia	20	2001	10	7	502	5.6	1	0	1	0	0	0	0	0.18	0	0.18	0.18	0.18	0.4	0.4	0.8	1.2	0.07	0.15	0.22	0.07	0.22
546	Kevin Strootman	nl NED	MF	Cagliari	31	1990	10	7	640	7.1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0.2	0.2	0	0.03	0.03	0	0.03
547	Jens Stryger Larsen	dk DEN	DF	Udinese	30	1991	11	8	684	7.6	0	1	0	0	0	0	0	0	0.13	0.13	0	0.13	0.7	0.7	0.9	1.6	0.09	0.12	0.21	0.09	0.21
548	Leo Štulac	si SVN	MF	Empoli	26	1994	23	8	833	9.3	2	2	2	0	0	1	0	0.22	0.22	0.43	0.22	0.43	0.3	0.3	0.5	0.8	0.04	0.05	0.09	0.04	0.09
549	Stefano Sturaro	it ITA	MF	Genoa	28	1993	25	24	1766	19.6	0	0	0	0	0	12	0	0	0	0	0	0	0.5	0.5	0.5	1	0.03	0.03	0.05	0.03	0.05
550	Isaac Success	ng NGA	FW	Udinese	25	1996	22	11	911	10.1	2	6	2	0	0	1	1	0.2	0.59	0.79	0.2	0.79	2.5	2.5	3	5.5	0.25	0.3	0.55	0.25	0.55
551	Vladyslav Supriaha	ua UKR	FW	Sampdoria	21	2000	1	0	22	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
552	Bosko Sutalo	hr CRO	DF	Hellas Verona	21	2000	24	6	920	10.2	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.3	0.03	0.01	0.03	0.03	0.03
553	Mattias Svanberg	se SWE	MF	Bologna	22	1999	36	31	2564	28.5	3	3	3	0	0	7	0	0.11	0.11	0.21	0.11	0.21	2	2	3.4	5.5	0.07	0.12	0.19	0.07	0.19
554	Michael Svoboda	at AUT	DF	Venezia	22	1998	18	13	1236	13.7	0	0	0	0	0	2	1	0	0	0	0	0	0.9	0.9	0.1	1	0.07	0	0.07	0.07	0.07
555	Wojciech Szcz?sny	pl POL	GK	Juventus	31	1990	33	33	2970	33	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0.1	0.1	0	0	0	0	0
556	Adrien Tameze	cm CMR	MFDF	Hellas Verona	27	1994	38	26	2574	28.6	4	2	4	0	0	4	0	0.14	0.07	0.21	0.14	0.21	1.4	1.4	1.7	3	0.05	0.06	0.11	0.05	0.11
557	Ciprian T?t?ru?anu	ro ROU	GK	Milan	35	1986	6	6	540	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
558	Filippo Terracciano	it ITA	DF	Hellas Verona	18	2003	1	0	7	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
559	Pietro Terracciano	it ITA	GK	Fiorentina	31	1990	32	31	2862	31.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
560	Aleksa Terzi?	rs SRB	DF	Fiorentina	21	1999	14	1	274	3	0	1	0	0	0	1	0	0	0.33	0.33	0	0.33	0	0	0.4	0.4	0	0.14	0.14	0	0.14
561	Tanner Tessmann	us USA	MF	Venezia	19	2001	20	6	680	7.6	0	0	0	0	0	1	1	0	0	0	0	0	0.8	0.8	0.2	0.9	0.1	0.02	0.13	0.1	0.13
562	Arthur Theate	be BEL	DF	Bologna	21	2000	31	28	2424	26.9	2	1	2	0	0	6	0	0.07	0.04	0.11	0.07	0.11	1.5	1.5	0.3	1.8	0.06	0.01	0.07	0.06	0.07
563	Morten Thorsby	no NOR	MF	Sampdoria	25	1996	35	35	2943	32.7	3	1	3	0	0	10	0	0.09	0.03	0.12	0.09	0.12	3.4	3.4	1.1	4.4	0.1	0.03	0.14	0.1	0.14
564	Jeremy Toljan	de GER	DF	Sassuolo	26	1994	20	15	1399	15.5	0	1	0	0	0	2	0	0	0.06	0.06	0	0.06	0.1	0.1	1.1	1.2	0	0.07	0.08	0	0.08
565	Rafael Tolói	it ITA	DF	Atalanta	30	1990	20	16	1438	16	1	1	1	0	0	6	0	0.06	0.06	0.13	0.06	0.13	1.3	1.3	0.5	1.8	0.08	0.03	0.11	0.08	0.11
566	Takehiro Tomiyasu	jp JPN	DF	Bologna	22	1998	1	0	10	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0	0.3
567	Fikayo Tomori	eng ENG	DF	Milan	23	1997	31	30	2718	30.2	0	0	0	0	0	4	0	0	0	0	0	0	2.2	2.2	0.1	2.2	0.07	0	0.07	0.07	0.07
568	Sandro Tonali	it ITA	MF	Milan	21	2000	36	31	2600	28.9	5	2	5	0	0	9	0	0.17	0.07	0.24	0.17	0.24	4.3	4.3	4	8.3	0.15	0.14	0.29	0.15	0.29
569	Lorenzo Tonelli	it ITA	DF	Empoli	31	1990	14	8	870	9.7	0	0	0	0	0	4	0	0	0	0	0	0	0.4	0.4	0.2	0.6	0.04	0.02	0.07	0.04	0.07
570	Ernesto Torregrossa	it ITA	FW	Sampdoria	29	1992	10	0	116	1.3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.1	0.1	0	0.1	0.1	0	0.1
571	Lucas Torreira	uy URU	MF	Fiorentina	25	1996	31	26	2195	24.4	5	1	5	0	0	10	1	0.21	0.04	0.25	0.21	0.25	4.6	4.4	1.7	6.2	0.19	0.07	0.26	0.18	0.25
572	Abdoulaye Touré	fr FRA	MF	Genoa	27	1994	8	6	430	4.8	0	0	0	0	0	1	0	0	0	0	0	0	0.2	0.2	0	0.2	0.03	0	0.03	0.03	0.03
573	Simone Trimboli	it ITA	MF	Sampdoria	19	2002	5	0	65	0.7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.2	0.2	0	0.35	0.35	0	0.35
574	Axel Tuanzebe	eng ENG	DF	Napoli	23	1997	1	0	11	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
575	Iyenoma Udogie	it ITA	DF	Udinese	18	2002	35	29	2477	27.5	5	3	5	0	0	4	0	0.18	0.11	0.29	0.18	0.29	3.9	3.9	2.1	6	0.14	0.08	0.22	0.14	0.22
576	Maximilian Ullmann	at AUT	DF	Venezia	25	1996	5	2	246	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
577	Kacper Urbanski	pl POL	MF	Bologna	16	2004	1	0	45	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
578	Antonio Vacca	it ITA	MF	Venezia	31	1990	21	15	1064	11.8	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0.3	0.3	0	0.02	0.02	0	0.02
579	Zinho Vanheusden	be BEL	DF	Genoa	22	1999	14	11	989	11	0	0	0	0	0	3	0	0	0	0	0	0	0.2	0.2	0.1	0.2	0.01	0.01	0.02	0.01	0.02
580	Johan Vásquez	mx MEX	DF	Genoa	22	1998	28	27	2279	25.3	1	0	1	0	0	7	0	0.04	0	0.04	0.04	0.04	0.9	0.9	0.1	1	0.03	0.01	0.04	0.03	0.04
581	Denis Vavro	sk SVK	DF	Lazio	25	1996	1	0	8	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
582	Matías Vecino	uy URU	MF	Inter	29	1991	17	2	377	4.2	1	0	1	0	0	2	0	0.24	0	0.24	0.24	0.24	1.3	1.3	0.8	2.1	0.31	0.18	0.49	0.31	0.49
583	Miguel Veloso	pt POR	MF	Hellas Verona	35	1986	22	17	1343	14.9	0	3	0	0	0	7	1	0	0.2	0.2	0	0.2	0.6	0.6	2	2.6	0.04	0.13	0.18	0.04	0.18
584	Lorenzo Venuti	it ITA	DF	Fiorentina	26	1995	23	20	1571	17.5	0	0	0	0	0	4	0	0	0	0	0	0	0.2	0.2	0.4	0.6	0.01	0.02	0.04	0.01	0.04
585	Daniele Verde	it ITA	FWMF	Spezia	25	1996	33	21	1957	21.7	8	6	7	1	2	2	0	0.37	0.28	0.64	0.32	0.6	5.6	4.2	4.9	9	0.26	0.22	0.48	0.19	0.41
586	Simone Verdi	it ITA	FWMF	Torino	29	1992	3	0	46	0.5	1	0	1	0	0	0	0	1.96	0	1.96	1.96	1.96	0.3	0.3	0	0.4	0.62	0.07	0.69	0.62	0.69
587	Simone Verdi	it ITA	FWMF	Salernitana	29	1992	15	11	829	9.2	5	0	4	1	1	3	0	0.54	0	0.54	0.43	0.43	3.9	3.1	1.3	4.4	0.42	0.14	0.56	0.34	0.48
588	Jordan Veretout	fr FRA	MF	Roma	28	1993	36	26	2319	25.8	4	8	3	1	2	6	0	0.16	0.31	0.47	0.12	0.43	4.6	3.1	4.4	7.5	0.18	0.17	0.35	0.12	0.29
589	Edoardo Vergani	it ITA	FWMF	Salernitana	20	2001	6	1	102	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
590	Valerio Verre	it ITA	MFFW	Sampdoria	27	1994	11	6	420	4.7	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0.8	0.3	1.1	0.17	0.05	0.23	0.17	0.23
591	Valerio Verre	it ITA	MFFW	Empoli	27	1994	8	4	310	3.4	0	1	0	0	0	2	1	0	0.29	0.29	0	0.29	0.7	0.7	0.7	1.3	0.19	0.2	0.39	0.19	0.39
592	Freddie Veseli	al ALB	DF	Salernitana	28	1992	9	8	596	6.6	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0.01	0.01
593	Guglielmo Vicario	it ITA	GK	Empoli	24	1996	38	38	3420	38	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
594	Arturo Vidal	cl CHI	MF	Inter	34	1987	28	2	741	8.2	1	1	1	0	0	3	0	0.12	0.12	0.24	0.12	0.24	1.8	1.8	2.3	4.1	0.22	0.28	0.5	0.22	0.5
595	Ronaldo Vieira	gw GNB	MF	Sampdoria	23	1998	14	4	495	5.5	0	0	0	0	0	3	0	0	0	0	0	0	0.1	0.1	0	0.1	0.01	0	0.01	0.01	0.01
596	Luca Vignali	it ITA	DF	Spezia	25	1996	2	1	85	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
597	Emanuel Vignato	it ITA	MFDF	Bologna	20	2000	24	3	594	6.6	0	1	0	0	0	2	0	0	0.15	0.15	0	0.15	0.2	0.2	1.7	2	0.04	0.26	0.3	0.04	0.3
598	Matías Viña	uy URU	DF	Roma	23	1997	26	18	1565	17.4	0	1	0	0	0	2	0	0	0.06	0.06	0	0.06	0.7	0.7	1.4	2.1	0.04	0.08	0.12	0.04	0.12
599	Nicolas Viola	it ITA	MF	Bologna	31	1989	6	1	102	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0.03	0.03	0.03
600	Mattia Viti	it ITA	DF	Empoli	19	2002	20	16	1491	16.6	0	0	0	0	0	3	1	0	0	0	0	0	0.5	0.5	0	0.6	0.03	0	0.03	0.03	0.03
601	Dušan Vlahovi?	rs SRB	FW	Fiorentina	21	2000	21	21	1857	20.6	17	2	12	5	6	2	0	0.82	0.1	0.92	0.58	0.68	12.7	8.1	1.9	10.1	0.62	0.09	0.71	0.39	0.49
602	Dušan Vlahovi?	rs SRB	FW	Juventus	21	2000	15	12	1076	12	7	1	7	0	0	2	0	0.59	0.08	0.67	0.59	0.67	5.4	5.4	1.2	6.6	0.45	0.1	0.55	0.45	0.55
603	Mërgim Vojvoda	xk KVX	DF	Torino	26	1995	29	22	1976	22	0	3	0	0	0	3	0	0	0.14	0.14	0	0.14	1.5	1.5	2.4	4	0.07	0.11	0.18	0.07	0.18
604	Cristian Volpato	it ITA	MFFW	Roma	17	2003	3	0	38	0.4	1	0	1	0	0	0	0	2.37	0	2.37	2.37	2.37	0.1	0.1	0	0.1	0.14	0.11	0.25	0.14	0.25
605	Stefan de Vrij	nl NED	DF	Inter	29	1992	30	28	2410	26.8	0	0	0	0	0	3	0	0	0	0	0	0	2.5	2.5	0	2.5	0.09	0	0.09	0.09	0.09
606	Walace	br BRA	MF	Udinese	26	1995	36	33	2970	33	1	0	1	0	0	6	1	0.03	0	0.03	0.03	0.03	1.4	1.4	2.1	3.5	0.04	0.06	0.11	0.04	0.11
607	Sebastian Walukiewicz	pl POL	DF	Cagliari	21	2000	7	4	302	3.4	0	0	0	0	0	1	0	0	0	0	0	0	0.3	0.3	0	0.3	0.09	0.01	0.1	0.09	0.1
608	Magnus Warming	dk DEN	FWDF	Torino	21	2000	4	0	58	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
609	Kelvin Yeboah	it ITA	FW	Genoa	21	2000	17	9	850	9.4	0	1	0	0	0	2	0	0	0.11	0.11	0	0.11	1.4	1.4	1.3	2.7	0.14	0.14	0.28	0.14	0.28
610	Gerard Yepes	es ESP	MFDF	Sampdoria	18	2002	4	0	21	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
