Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G-PK	PK	PKatt	CrdY	CrdR	Gls/90	Ast/90	G+A/90	G-PK/90	G+A-PK/90	xG	npxG	xA	npxG+xA	xG/90	xA/90	xG+xA/90	npxG/90	npxG+xA/90
393	Brain Oddei	it ITA	FW	Sassuolo	18	2002	2	0	8	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0	0.1	1.29	0	1.29	1.29	1.29
394	Álvaro Odriozola	es ESP	DF	Fiorentina	25	1995	25	18	1733	19.3	1	2	1	0	0	4	1	0.05	0.1	0.16	0.05	0.16	1	1	3.8	4.7	0.05	0.2	0.25	0.05	0.25
395	Stefano Okaka	it ITA	FW	Udinese	31	1989	2	0	22	0.2	0	1	0	0	0	1	0	0	4.09	4.09	0	4.09	0	0	0	0	0.09	0	0.09	0.09	0.09
396	David Okereke	ng NGA	FWMF	Venezia	23	1997	32	24	2053	22.8	7	0	7	0	0	5	1	0.31	0	0.31	0.31	0.31	4.8	4.8	1.1	5.8	0.21	0.05	0.26	0.21	0.26
397	Christian Oliva	uy URU	MF	Cagliari	25	1996	4	0	48	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
398	Sérgio Oliveira	pt POR	MF	Roma	29	1992	14	13	892	9.9	2	0	1	1	1	5	0	0.2	0	0.2	0.1	0.1	1.4	0.7	1.5	2.3	0.15	0.16	0.3	0.07	0.23
399	Riccardo Orsolini	it ITA	FW	Bologna	24	1997	29	21	1785	19.8	6	3	4	2	2	2	0	0.3	0.15	0.45	0.2	0.35	6.2	4.7	1.9	6.6	0.31	0.1	0.41	0.24	0.33
400	Victor Osimhen	ng NGA	FW	Napoli	22	1998	27	23	1983	22	14	2	14	0	0	5	1	0.64	0.09	0.73	0.64	0.73	11.5	11.5	1.8	13.3	0.52	0.08	0.6	0.52	0.6
401	David Ospina	co COL	GK	Napoli	32	1988	31	31	2790	31	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
402	Adam Ounas	dz ALG	MFFW	Napoli	24	1996	15	1	326	3.6	0	0	0	0	0	1	0	0	0	0	0	0	0.9	0.9	1	1.9	0.25	0.27	0.52	0.25	0.52
403	Daniele Padelli	it ITA	GK	Udinese	35	1985	3	3	270	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
404	Simone Pafundi	it ITA	FW	Udinese	15	2006	1	0	23	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.2	0.32	0.3	0.62	0.32	0.62
405	Martin Palumbo	no NOR	MF	Juventus	19	2002	1	0	13	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406	Goran Pandev	mk MKD	FWMF	Genoa	38	1983	20	7	843	9.4	0	1	0	0	0	1	0	0	0.11	0.11	0	0.11	0.6	0.6	1.3	1.9	0.07	0.14	0.21	0.07	0.21
407	Ivor Pandur	hr CRO	GK	Hellas Verona	21	2000	3	3	270	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
408	Fabiano Parisi	it ITA	DF	Empoli	20	2000	25	16	1477	16.4	0	1	0	0	0	5	0	0	0.06	0.06	0	0.06	0.8	0.8	0.6	1.3	0.05	0.03	0.08	0.05	0.08
409	Mario Pašali?	hr CRO	MFFW	Atalanta	26	1995	37	24	2002	22.2	13	6	13	0	0	3	0	0.58	0.27	0.85	0.58	0.85	9.7	9.7	6.4	16.1	0.44	0.29	0.72	0.44	0.72
410	Patric	es ESP	DF	Lazio	28	1993	24	19	1649	18.3	1	1	1	0	0	7	1	0.05	0.05	0.11	0.05	0.11	0.6	0.6	0.7	1.2	0.03	0.04	0.07	0.03	0.07
411	Rui Patrício	pt POR	GK	Roma	33	1988	38	38	3420	38	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0.4	0.4	0	0.01	0.01	0	0.01
412	Leonardo Pavoletti	it ITA	FW	Cagliari	32	1988	33	14	1518	16.9	5	1	5	0	0	9	0	0.3	0.06	0.36	0.3	0.36	6.3	6.3	1	7.3	0.37	0.06	0.43	0.37	0.43
413	Pedro	es ESP	FW	Lazio	34	1987	32	25	2033	22.6	9	4	9	0	0	5	0	0.4	0.18	0.58	0.4	0.58	5.2	5.2	3.3	8.5	0.23	0.15	0.38	0.23	0.38
414	João Pedro	it ITA	FW	Cagliari	29	1992	37	37	3323	36.9	13	4	10	3	4	9	0	0.35	0.11	0.46	0.27	0.38	12.9	9.9	3.1	13	0.35	0.08	0.43	0.27	0.35
415	Gianluca Pegolo	it ITA	GK	Sassuolo	40	1981	1	1	90	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
416	Pietro Pellegri	it ITA	FW	Torino	20	2001	9	1	216	2.4	1	0	1	0	0	1	0	0.42	0	0.42	0.42	0.42	0.4	0.4	0.1	0.5	0.18	0.04	0.22	0.18	0.22
417	Pietro Pellegri	it ITA	FW	Milan	20	2001	6	1	131	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.2	0.4	0.6	0.14	0.26	0.41	0.14	0.41
418	Lorenzo Pellegrini	it ITA	MFFW	Roma	25	1996	28	27	2289	25.4	9	3	7	2	3	8	1	0.35	0.12	0.47	0.28	0.39	9.1	6.8	6.2	13	0.36	0.24	0.6	0.27	0.51
419	Luca Pellegrini	it ITA	DF	Juventus	22	1999	18	15	1107	12.3	0	1	0	0	0	6	0	0	0.08	0.08	0	0.08	0.2	0.2	1.6	1.7	0.01	0.13	0.14	0.01	0.14
420	Federico Peluso	it ITA	DF	Sassuolo	37	1984	2	0	11	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
421	Gastón Pereiro	uy URU	FWMF	Cagliari	26	1995	29	9	975	10.8	4	2	4	0	0	1	0	0.37	0.18	0.55	0.37	0.55	1.4	1.4	1.6	3	0.13	0.15	0.28	0.13	0.28
422	Dor Peretz	il ISR	MF	Venezia	26	1995	18	4	585	6.5	0	1	0	0	0	2	0	0	0.15	0.15	0	0.15	0.7	0.7	0.3	1	0.11	0.04	0.16	0.11	0.16
423	Roberto Pereyra	ar ARG	MFFW	Udinese	30	1991	24	22	1794	19.9	3	5	2	1	2	10	1	0.15	0.25	0.4	0.1	0.35	4.5	3	3.2	6.2	0.23	0.16	0.39	0.15	0.31
424	Carles Pérez	es ESP	MFFW	Roma	23	1998	19	3	554	6.2	1	1	1	0	0	2	0	0.16	0.16	0.32	0.16	0.32	1.4	1.4	0.6	2	0.23	0.1	0.32	0.23	0.32
425	Nehuén Pérez	ar ARG	DF	Udinese	21	2000	20	19	1692	18.8	0	1	0	0	0	6	0	0	0.05	0.05	0	0.05	1.2	1.2	0.5	1.7	0.06	0.03	0.09	0.06	0.09
426	Mattia Perin	it ITA	GK	Juventus	28	1992	5	5	405	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
427	Ivan Periši?	hr CRO	DF	Inter	32	1989	35	35	2821	31.3	8	6	7	1	1	4	0	0.26	0.19	0.45	0.22	0.41	5.1	4.4	8	12.4	0.16	0.25	0.42	0.14	0.39
428	Diego Perotti	ar ARG	FWMF	Salernitana	33	1988	11	1	287	3.2	0	0	0	0	1	1	0	0	0	0	0	0	1.4	0.6	0.3	0.9	0.43	0.09	0.52	0.19	0.28
429	Mario Perrone	it ITA	DF	Salernitana	18	2003	1	0	15	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
430	Matteo Pessina	it ITA	MFFW	Atalanta	24	1997	27	18	1438	16	1	1	1	0	0	0	0	0.06	0.06	0.13	0.06	0.13	2.7	2.7	1.3	4	0.17	0.08	0.25	0.17	0.25
431	Andrea Petagna	it ITA	FW	Napoli	26	1995	24	4	586	6.5	3	1	3	0	0	1	0	0.46	0.15	0.61	0.46	0.61	1.6	1.6	1.4	3	0.25	0.21	0.46	0.25	0.46
432	Giuseppe Pezzella	it ITA	DF	Atalanta	23	1997	21	10	1072	11.9	0	2	0	0	0	3	0	0	0.17	0.17	0	0.17	0.4	0.4	1.1	1.6	0.04	0.09	0.13	0.04	0.13
433	Krzysztof Pi?tek	pl POL	FW	Fiorentina	26	1995	14	9	733	8.1	3	0	3	0	1	0	0	0.37	0	0.37	0.37	0.37	3.3	2.5	0.8	3.4	0.4	0.1	0.51	0.31	0.41
434	Roberto Piccoli	it ITA	FW	Genoa	20	2001	5	2	218	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.4	0.13	0.05	0.17	0.13	0.17
435	Roberto Piccoli	it ITA	FW	Atalanta	20	2001	12	1	196	2.2	1	0	1	0	0	0	0	0.46	0	0.46	0.46	0.46	1.1	1.1	0.2	1.4	0.53	0.09	0.62	0.53	0.62
436	Andrea Pinamonti	it ITA	FW	Empoli	22	1999	36	32	2869	31.9	13	2	9	4	4	4	0	0.41	0.06	0.47	0.28	0.35	11.9	8.9	2.3	11.2	0.37	0.07	0.45	0.28	0.35
437	Carlo Pinsoglio	it ITA	GK	Juventus	31	1990	1	0	45	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
438	Riccardo Pinzi	it ITA	MF	Udinese	17	2003	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
439	Marko Pjaca	hr CRO	MFFW	Torino	26	1995	24	13	1149	12.8	3	0	3	0	0	0	0	0.23	0	0.23	0.23	0.23	1.9	1.9	1.1	3	0.15	0.09	0.24	0.15	0.24
